ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
38,Q50779623,Term for House of Representatives 38th general election,,,,,,,,,,,,,,,,,Q50779378,Term for House of Representatives 39th general election
39,Q57313439,Q57313439,,,,,,,,,,,,,,,Q57313460,Q57313460,Q41893001,Term for House of Representatives 40th general election
38,Q57313460,Q57313460,,,,,,,,,,,,,,,Q57313470,Q57313470,Q57313439,Q57313439
37,Q57313470,Q57313470,,,,,,,,,,,,,,,Q57313926,Q57313926,Q57313460,Q57313460
1,Q57313477,Q57313477,,,,,,,,,,,,,,,,,Q57313485,Q57313485
2,Q57313485,Q57313485,,,,,,,,,,,,,,,Q57313477,Q57313477,Q57313515,Q57313515
3,Q57313515,Q57313515,,,,,,,,,,,,,,,Q57313485,Q57313485,Q57313522,Q57313522
4,Q57313522,Q57313522,,,,,,,,,,,,,,,Q57313515,Q57313515,Q57313550,Q57313550
5,Q57313550,Q57313550,,,,,,,,,,,,,,,Q57313522,Q57313522,Q57313570,Q57313570
6,Q57313570,Q57313570,,,,,,,,,,,,,,,Q57313550,Q57313550,Q57313594,Q57313594
7,Q57313594,Q57313594,,,,,,,,,,,,,,,Q57313570,Q57313570,Q57313623,Q57313623
8,Q57313623,Q57313623,,,,,,,,,,,,,,,Q57313594,Q57313594,Q57313679,Q57313679
9,Q57313679,Q57313679,,,,,,,,,,,,,,,Q57313623,Q57313623,Q57313684,Q57313684
10,Q57313684,Q57313684,,,,,,,,,,,,,,,Q57313679,Q57313679,Q57313692,Q57313692
11,Q57313692,Q57313692,,,,,,,,,,,,,,,Q57313684,Q57313684,Q57313700,Q57313700
12,Q57313700,Q57313700,,,,,,,,,,,,,,,Q57313692,Q57313692,Q57313706,Q57313706
13,Q57313706,Q57313706,,,,,,,,,,,,,,,Q57313700,Q57313700,Q57313717,Q57313717
